commit,chart_version,images
534be49b769261a204438044f3a1e847223f973b,0.0.1,docker.io/bitnami/kibana:7.3.2-debian-9-r7
c718a0daa91d73349c755b4a6fef9c724a9b29f9,0.0.1,docker.io/bitnami/kibana:7.3.2-debian-9-r7
3c24c45b5849e43c355cce7586e9f4f136326d7f,0.0.1,docker.io/bitnami/kibana:7.3.2-debian-9-r7
99807e25333f2961d1609c54aed6f6756574c318,0.0.1,docker.io/bitnami/kibana:7.3.2-debian-9-r7
d23cbbe404e46cfdcade980e409d76439574ae5a,0.0.1,docker.io/bitnami/kibana:7.3.2-debian-9-r7
601c8a19efa8cc613b6bcaa28d260a0dbba844da,0.0.2,docker.io/bitnami/kibana:7.3.2-debian-9-r9
93905f1dcb2c1732038ea478f2b169f4661bbefd,0.0.3,docker.io/bitnami/kibana:7.3.2-debian-9-r9
f21dad2cf4d3986e318d37a4eb5f57eaab8c7592,0.0.4,docker.io/bitnami/kibana:7.3.2-debian-9-r9
272ea717e909edd7bd97142eeafd24ffb16aaf53,0.0.5,docker.io/bitnami/kibana:7.3.2-debian-9-r18
42a2f476bdc0f4960ad15d9a8e2fca8cef684b8f,0.0.5,docker.io/bitnami/kibana:7.3.2-debian-9-r18
e8b358fd7a032b49c35ffe9c415c6b0f4f1ed837,0.0.6,docker.io/bitnami/kibana:7.3.2-debian-9-r19
99731f197f9bcc755c793a63a1c8554d5471800f,0.1.0,docker.io/bitnami/kibana:7.3.2-debian-9-r19
126613ed6461683639234964618b375016bb5964,0.1.0,docker.io/bitnami/kibana:7.3.2-debian-9-r20
abe37971e506c34d7c4b6a11cb7dacae2dc4c797,0.1.1,docker.io/bitnami/kibana:7.4.0-debian-9-r0
90eca42116bf7fd1988d8e6cdaec2cfad36b579f,0.1.1,docker.io/bitnami/kibana:7.4.0-debian-9-r0
4705a98e346aae7e784ee27cd8c58d0f8e8411f3,0.1.2,docker.io/bitnami/kibana:7.4.0-debian-9-r0
d4caa826e72e96fc9ca277623cad949c5121be79,0.1.2,docker.io/bitnami/kibana:7.4.0-debian-9-r0
a45957e74ec505f449ddbc4ca55f9889c8c8bbca,0.1.3,docker.io/bitnami/kibana:7.4.0-debian-9-r0
e6f0811669af3e23a9188e485c1007c5ae9f031d,0.1.3,docker.io/bitnami/kibana:7.4.0-debian-9-r0
61f42c86e98d21f086a5968fefbb55df78034fb6,1.0.0,docker.io/bitnami/kibana:7.4.0-debian-9-r0
8e6fa3bf7e3198954b6af507cf143fd4870c1c33,0.1.3,docker.io/bitnami/kibana:7.4.0-debian-9-r0
170e1fb9270b83e07e59122c0bde6a0ce3460b22,1.0.1,docker.io/bitnami/kibana:7.4.0-debian-9-r0
fe0740433c4a0ff4843d04d0ce298d2728f55c4d,2.0.0,docker.io/bitnami/kibana:7.4.0-debian-9-r0
80cc16d6a7bb4509abcceb683d67288dc9b45966,2.0.0,docker.io/bitnami/kibana:7.4.0-debian-9-r0
9fcd5cc898d36c96ea346e1736042e0050266483,2.0.0,docker.io/bitnami/kibana:7.4.0-debian-9-r0
a5d55ffb4a85d03b697bdf79114282029b2f2199,2.0.0,docker.io/bitnami/kibana:7.4.0-debian-9-r0
69c8843afce5e20415fb507dbefd7e0680de0519,2.0.0,docker.io/bitnami/kibana:7.4.0-debian-9-r0
0866849388233230a235163d5fc20dad48bc027e,2.0.1,docker.io/bitnami/kibana:7.4.0-debian-9-r0
7702d7a51fafad5f39e617ea83c03228b710feda,2.0.2,docker.io/bitnami/kibana:7.4.1-debian-9-r4
3bb235da692f5c8c4ad10d69e4f876550e0e28d8,2.0.3,docker.io/bitnami/kibana:7.4.2-debian-9-r0
