commit,chart_version,images
a0e44f7d6a10b8b5643186130ea420887cb72c7c,7.3.13,docker.io/bitnami/mariadb:10.3.22-debian-10-r27
1dcbc87ac447247685374550dd514c9760c7bdde,7.3.14,docker.io/bitnami/mariadb:10.3.22-debian-10-r44
4f591b8cea140d87917524c7c270aff2f6dfcbdf,7.3.15,docker.io/bitnami/mariadb:10.3.22-debian-10-r56
2bac48afd02622f9e7fe703b005cd305b4c3af6b,7.3.16,docker.io/bitnami/mariadb:10.3.22-debian-10-r60
d48c5a1f86cb9f8f425f93368790d0048f720f87,7.3.17,docker.io/bitnami/mariadb:10.3.22-debian-10-r82
bf1e5ca92fe371696d6ee2f44196c04d8a8dce16,7.3.18,docker.io/bitnami/mariadb:10.3.22-debian-10-r84
ec58efa448d373597dfe37be615cf908d85e8c3a,7.3.19,docker.io/bitnami/mariadb:10.3.22-debian-10-r85
6cf30f190fbd94025d52a848bad8ec287378f6f0,7.3.20,docker.io/bitnami/mariadb:10.3.22-debian-10-r90
9331712146af581246421957c1a88f1c850dbad7,7.3.21,docker.io/bitnami/mariadb:10.3.22-debian-10-r92
646695d3826e19bf90b16d742ff07040afb34fab,7.4.0,docker.io/bitnami/mariadb:10.3.22-debian-10-r103
cd6e33e679d9fe7e250dbb48f3fe23593ba60370,7.4.1,docker.io/bitnami/mariadb:10.3.22-debian-10-r107
0fe12bf9c06fb2d478036a792345d64c9a98dad1,7.4.2,docker.io/bitnami/mariadb:10.3.23-debian-10-r0
c7751eb5764e468e1854b58a1b8491d2b13e0a4a,7.4.2,docker.io/bitnami/mariadb:10.3.23-debian-10-r0
71f8770be6027261c6d2d1e3b690baafcaac60ad,7.4.3,docker.io/bitnami/mariadb:10.3.23-debian-10-r21
4bfd7ba5053d81abd582515273b0603b2c4911b0,7.5.0,docker.io/bitnami/mariadb:10.3.23-debian-10-r23
fe9fd8c261195385aae73e165ac6c1a666fef08e,7.5.1,docker.io/bitnami/mariadb:10.3.23-debian-10-r25
c315cb078a4cef97ff53cf2066b34add3f2926ba,7.5.1,docker.io/bitnami/mariadb:10.3.23-debian-10-r25
4cff6ba8b0013b6dc368a1e7986c393e8447e75b,7.5.1,docker.io/bitnami/mariadb:10.3.23-debian-10-r25
cad55a635d8c8fc558189dec9c5eda0e30585db3,7.5.2,docker.io/bitnami/mariadb:10.3.23-debian-10-r38
4b8ae0ff23297cc39296fe7c5ea2f21fe952770a,7.6.0,docker.io/bitnami/mariadb:10.3.23-debian-10-r38
090a91f64e2b8c4c77aa3a07f0b672367d34f42e,7.6.1,docker.io/bitnami/mariadb:10.3.23-debian-10-r44
