commit,chart_version,images
a0e44f7d6a10b8b5643186130ea420887cb72c7c,7.8.9,docker.io/bitnami/mongodb:4.2.4-debian-10-r0
9601c816aa9c384291a12e71a9b2c63830e519d7,7.8.10,docker.io/bitnami/mongodb:4.2.4-debian-10-r3
301bb18b0f8455d6f64c26aedd50ee9d7c74c221,7.8.10,docker.io/bitnami/mongodb:4.2.4-debian-10-r3
20312fc012d33f354ab0fde5d0b18d56efb56ba2,7.9.0,docker.io/bitnami/mongodb:4.2.4-debian-10-r3
39ec8d6dec88339da666abf036c78e7fdd41a3cd,7.9.1,docker.io/bitnami/mongodb:4.2.4-debian-10-r3
d9fcba3a3d5ccf67d2e3281baea102ae9885f90b,7.10.0,docker.io/bitnami/mongodb:4.2.4-debian-10-r3
caba1238592e52f58652a3c8c582b8d9c7c58780,7.10.1,docker.io/bitnami/mongodb:4.2.5-debian-10-r1
be41ed7ee93282a1907feabf333ba55f8e45a041,7.10.1,docker.io/bitnami/mongodb:4.2.5-debian-10-r1
15b463d570e67fa8889342bc72a60089b5a46b18,7.10.2,docker.io/bitnami/mongodb:4.2.5-debian-10-r3
886a2c0a5823846906b51c200c53a45763656e2a,7.10.3,docker.io/bitnami/mongodb:4.2.5-debian-10-r8
c5538a86babea164117d278e53dbeb5bea72beea,7.10.4,docker.io/bitnami/mongodb:4.2.5-debian-10-r10
a922609db168637c03652e255c551f1a2dd5efc2,7.10.5,docker.io/bitnami/mongodb:4.2.5-debian-10-r12
0b9ea37ac2495884613269bc70401e4a6b53c6cd,7.10.5,docker.io/bitnami/mongodb:4.2.5-debian-10-r13
420efdd0e394c4676bc7376d8b5cac35ecba6ffd,7.10.6,docker.io/bitnami/mongodb:4.2.5-debian-10-r35
fe5485523a7c6447de4d49c6fa68b8e8ab6d59d8,7.10.7,docker.io/bitnami/mongodb:4.2.5-debian-10-r39
26ba8a0c8bc56141c6e6dbc07eb2d3830e0f57fb,7.10.8,docker.io/bitnami/mongodb:4.2.5-debian-10-r42
ff1db9d4264e63ff3afb340ddaf0a4ff89ff8a82,7.10.9,docker.io/bitnami/mongodb:4.2.5-debian-10-r43
