commit,chart_version,images
7c27166ad1bf969cd74ad9473ac93768bcb678a2,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
ca5575c61bc4463f4facc54de8f3c46c14b81994,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
43ba5516b238f9a8e44e9d596c246f633c7bda44,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
016d40ff4fe7504b63eb8bb2b2b5d6a9ced2c35a,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
421a52bc4d051aa25809cb78015274055b63a6ed,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
608d7fea36b9f4f8d7c9653fccced2feca525a9e,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
d9f25d178a26c295f71708bc015c790d50337798,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
56faaaff6344b536557a13974588a30dfeacd8f3,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
6670b0515777cba30b69c2a1b75247793249d02a,0.1.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
bc1ef460ae023d56efc152b41e55fdfb3ee8a5d9,0.1.1,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
dd0e7544af3b040faa8092bb78e78fd86483679d,0.1.2,docker.io/bitnami/node-exporter:0.18.1-debian-9-r172
06cb3fc36e72967fa87ca5d29563d804ebf2488f,0.1.3,docker.io/bitnami/node-exporter:0.18.1-debian-9-r209
a680023fe9c27c430edcbd1e75ca28d2859dbb9a,0.1.4,docker.io/bitnami/node-exporter:0.18.1-debian-9-r213
cea868b279c097555bc87c4e992c0789f01d3559,0.2.0,docker.io/bitnami/node-exporter:0.18.1-debian-9-r213
8a8ecf1057ff47d97efcaad96b15e9628ebfe3b3,0.2.1,docker.io/bitnami/node-exporter:0.18.1-debian-10-r0
40ee57cf5164717357e1627b55bf25f59c40fbd1,0.2.2,docker.io/bitnami/node-exporter:0.18.1-debian-10-r0
4837534d1207687d5417878104c0a1691673525b,0.2.3,docker.io/bitnami/node-exporter:0.18.1-debian-10-r21
1a0800363d29601381c6f8854eaac28bbff99ed7,0.2.4,docker.io/bitnami/node-exporter:0.18.1-debian-10-r29
a0e44f7d6a10b8b5643186130ea420887cb72c7c,0.2.5,docker.io/bitnami/node-exporter:0.18.1-debian-10-r29
883861850279fe2be3dec7a20ed4cf8bdf4703ac,0.2.6,docker.io/bitnami/node-exporter:0.18.1-debian-10-r45
3011a9c4f578ec7e41dacc17c8a4f62f43422f07,0.2.7,docker.io/bitnami/node-exporter:0.18.1-debian-10-r50
2bf9c55adec7fb3a719e9d00ab1977e66809a230,0.2.8,docker.io/bitnami/node-exporter:0.18.1-debian-10-r56
edfe72b1f06756dc91d7da7fcc041476367a4fe3,0.2.9,docker.io/bitnami/node-exporter:0.18.1-debian-10-r74
27cddb83cc63d167877565a56d6d589d755b6898,0.2.10,docker.io/bitnami/node-exporter:0.18.1-debian-10-r75
afdcb84921fc015ac9b5baab30974328b28eb3d0,0.2.10,docker.io/bitnami/node-exporter:0.18.1-debian-10-r77
a971bfbc4041cc788fa2a8d2ad4db251ea58934c,0.2.11,docker.io/bitnami/node-exporter:0.18.1-debian-10-r87
abd4f5473590b0a75a6b878915f939120f9b3ab8,0.2.12,docker.io/bitnami/node-exporter:0.18.1-debian-10-r93
c58068e419f72151284750a9eb103fce715c361e,0.2.13,docker.io/bitnami/node-exporter:0.18.1-debian-10-r94
c7751eb5764e468e1854b58a1b8491d2b13e0a4a,0.2.13,docker.io/bitnami/node-exporter:0.18.1-debian-10-r94
2b2a522255024b22791f650627eff7fc7d95d0ea,0.2.14,docker.io/bitnami/node-exporter:0.18.1-debian-10-r120
149c9197a388347a6d1d97b7e6a5a8c6a07e638f,1.0.0,docker.io/bitnami/node-exporter:1.0.1-debian-10-r0
5b4cd259637544b2d0212161e5faaf53502b38ad,1.0.1,docker.io/bitnami/node-exporter:1.0.1-debian-10-r7
63bde066b87a140fab52264d0522401ab3d63509,1.0.1,docker.io/bitnami/node-exporter:1.0.1-debian-10-r7
602b32a8e379878849fd618df277b823b13f1721,1.0.2,docker.io/bitnami/node-exporter:1.0.1-debian-10-r31
3d7ab406fecd64f1af25f53e7d27f03ec95b29a4,1.0.2,docker.io/bitnami/node-exporter:1.0.1-debian-10-r31
097e43da0e445de4c6efb03750ce052bd5f8f91a,1.0.3,docker.io/bitnami/node-exporter:1.0.1-debian-10-r40
133d6b7edd0edc699feebc14c02d18ef6547d131,1.1.0,docker.io/bitnami/node-exporter:1.0.1-debian-10-r40
1ed12f96af75322b46afdb2b3d9907c11b13f765,1.1.0,docker.io/bitnami/node-exporter:1.0.1-debian-10-r40
bfb17dc9297bda5c9b089373895fc7222d220f45,1.1.1,docker.io/bitnami/node-exporter:1.0.1-debian-10-r59
1d307f0c0ac2a1b91cd44494f0ffd1409d80f831,1.1.2,docker.io/bitnami/node-exporter:1.0.1-debian-10-r73
4fab1ec7c0d6a5faa067a745b053277c11903799,1.1.3,docker.io/bitnami/node-exporter:1.0.1-debian-10-r73
8e243d2119c18bf2d812a02b595c37423e62e1ac,1.1.4,docker.io/bitnami/node-exporter:1.0.1-debian-10-r101
ae274fcdc094ec2016f7b0accc47896a41ff3ee6,1.1.5,docker.io/bitnami/node-exporter:1.0.1-debian-10-r106
d87292ea6a32bab35cd2c1baad0cd35aa1bd9138,1.1.6,docker.io/bitnami/node-exporter:1.0.1-debian-10-r107
c08a20e3db004215383004ff023a73fcc2522e72,1.1.6,docker.io/bitnami/node-exporter:1.0.1-debian-10-r107
ab664ee3575e0ce416581782e1a8c6d6a61d85a4,2.0.0,docker.io/bitnami/node-exporter:1.0.1-debian-10-r130
5594e66adfbd9e84f5369f64d75cc8723b63eb8b,2.1.0,docker.io/bitnami/node-exporter:1.0.1-debian-10-r130
bbe157e642884b5e63382d550c8990732c24c707,2.1.1,docker.io/bitnami/node-exporter:1.0.1-debian-10-r157
2826c125b42505f28431301e3c1bbe5366e47a01,2.1.2,docker.io/bitnami/node-exporter:1.0.1-debian-10-r157
49adc63b672da976c55af2e077aa5648a357b77f,2.1.2,docker.io/bitnami/node-exporter:1.0.1-debian-10-r157
1c978f5cbe38e7966e6ed4946290e002ce4681ca,2.1.3,docker.io/bitnami/node-exporter:1.0.1-debian-10-r186
c5e67a388743cbee28439d2cabca27884b9daf97,2.1.3,docker.io/bitnami/node-exporter:1.0.1-debian-10-r186
8d01caa64eab26f0a6d1441d7518b275fa0f90ca,2.2.0,docker.io/bitnami/node-exporter:1.0.1-debian-10-r186
55bf72470adacd85167da13f34db2056e271cb7f,2.2.1,docker.io/bitnami/node-exporter:1.1.0-debian-10-r0
2a52b460452cae3c6dce3fa1c2c11d7b70c9070b,2.2.2,docker.io/bitnami/node-exporter:1.1.1-debian-10-r0
71fb99f541e971b1daafaa20ffb7d18b153b8d60,2.2.3,docker.io/bitnami/node-exporter:1.1.1-debian-10-r0
ea8d116028f2ad6d4e5ff427a123124b313e2391,2.2.4,docker.io/bitnami/node-exporter:1.1.2-debian-10-r10
d8e117a4a01ed798be15b469a0563fa82f2a4a40,2.2.5,docker.io/bitnami/node-exporter:1.1.2-debian-10-r37
204088db07405ae49c41ae73db284d3587c6436c,2.2.6,docker.io/bitnami/node-exporter:1.1.2-debian-10-r64
8433fe1efae80acc612db08ac887a5898e0c996c,2.2.7,docker.io/bitnami/node-exporter:1.1.2-debian-10-r90
8be55eaa90f6dd31ad812d688761f37ac727b10d,2.3.0,docker.io/bitnami/node-exporter:1.1.2-debian-10-r90
7b2b45a757925e7b59d96ad371e957fde431cb2c,2.3.1,docker.io/bitnami/node-exporter:1.1.2-debian-10-r90
2ea884ee3bb4ebc20dc4f0a928b7affd081472c5,2.3.1,docker.io/bitnami/node-exporter:1.1.2-debian-10-r90
4966a00dee35c9c7dd015bc8cdb4cefb09207948,2.3.2,docker.io/bitnami/node-exporter:1.1.2-debian-10-r116
1ea2ec3259898b01dc0963d929f925b508c04adf,2.3.3,docker.io/bitnami/node-exporter:1.2.0-debian-10-r0
d4fd5eb610c16816f9f94d73ca9c71ac63ff0549,2.3.4,docker.io/bitnami/node-exporter:1.2.0-debian-10-r0
eb3c2916be233280f2226d9cdceb57b08ab4a23b,2.3.4,docker.io/bitnami/node-exporter:1.2.0-debian-10-r0
a8dfec62ea055a7e233239b8c88ac134ea773fcb,2.3.5,docker.io/bitnami/node-exporter:1.2.0-debian-10-r14
