commit,chart_version,images
bb8e1cf68328a604dc48185b2deb165c0076d7d8,10.5.6,docker.io/bitnami/redis:5.0.7-debian-10-r32
a981041e8611678d71cd020944be3e3a7c1b9b3f,10.5.7,docker.io/bitnami/redis:5.0.7-debian-10-r48
f05c16577066d95b835eb032c1f8e625d3cb47fd,10.5.8,docker.io/bitnami/redis:5.0.7-debian-10-r48
a0e44f7d6a10b8b5643186130ea420887cb72c7c,10.5.9,docker.io/bitnami/redis:5.0.7-debian-10-r48
218dd1f7e193002cbaae882fe7d807e53d78024f,10.5.10,docker.io/bitnami/redis:5.0.7-debian-10-r51
cb6479cd2923525d20ee7ab6b78029d25a108219,10.5.11,docker.io/bitnami/redis:5.0.8-debian-10-r0
995683528c70af62eb86876e4465414efde6ecbe,10.5.12,docker.io/bitnami/redis:5.0.8-debian-10-r7
589eeb9ce67d2f1354cc3e57c975b25846a29db2,10.5.12,docker.io/bitnami/redis:5.0.8-debian-10-r7
7df8c657f6d868dd1e08b4e4f3eb4721ea7eb5d7,10.5.13,docker.io/bitnami/redis:5.0.8-debian-10-r10
1af52330f32b233bf953f17599c4f8fd87c2d1d3,10.5.14,docker.io/bitnami/redis:5.0.8-debian-10-r16
d4d63e9abf78e43442c6fdfec99a1bc00b53648d,10.6.0,docker.io/bitnami/redis:5.0.8-debian-10-r21
478f4a38d67157b46484efd0844e2dc38456039c,10.6.1,docker.io/bitnami/redis:5.0.8-debian-10-r26
63a72ace07b3a203d1480bf53a514f8abce16b3e,10.6.1,docker.io/bitnami/redis:5.0.8-debian-10-r27
7e4ec35efc99296bdf1cb7394a6817bcfb08b147,10.6.2,docker.io/bitnami/redis:5.0.8-debian-10-r28
ff04780027470675864bf500fbee68529e81c4ed,10.6.3,docker.io/bitnami/redis:5.0.8-debian-10-r32
ced96527631aacb7d3d291a7587970f61479cb82,10.6.4,docker.io/bitnami/redis:5.0.8-debian-10-r33
a8fc69e86aa7a897668bc43e8ecd1fb579ffffe4,10.6.5,docker.io/bitnami/redis:5.0.8-debian-10-r36
58a194211e0dea2e1b6420bfdfa9a2c8a46e204d,10.6.6,docker.io/bitnami/redis:5.0.8-debian-10-r36
035ee49dcb26e0702170b2d32e0d23c17519d8d3,10.6.7,docker.io/bitnami/redis:5.0.8-debian-10-r42
ddad11fcc481b151052caa9ec98b17d3e47bd733,10.6.8,docker.io/bitnami/redis:5.0.8-debian-10-r44
5da46acfef9ab368ed70a236766f0efb2808e840,10.6.9,docker.io/bitnami/redis:5.0.8-debian-10-r47
855b55eeb83d0521d32b7de4ff0d8fa81e569e38,10.6.10,docker.io/bitnami/redis:5.0.8-debian-10-r50
00efc573d9c4cbf2839b8fecce7d87a14616cecb,10.6.11,docker.io/bitnami/redis:5.0.9-debian-10-r0
b9414f4f179c3d9e51f7dcdf1a2288b84300fd5c,10.6.12,docker.io/bitnami/redis:5.0.9-debian-10-r4
5c87bf9e485af9ce0fa0e259cda5656187b095d8,10.6.13,docker.io/bitnami/redis:6.0.1-debian-10-r1
ba1441a5a51c58e9b9821a860daa708dfa999b4d,10.6.14,docker.io/bitnami/redis:6.0.3-debian-10-r0
c7751eb5764e468e1854b58a1b8491d2b13e0a4a,10.6.14,docker.io/bitnami/redis:6.0.3-debian-10-r0
6dbafa0007b48ce2fb85dee24560ec3fa895a5a4,10.6.15,docker.io/bitnami/redis:6.0.3-debian-10-r2
10096b627ba903ece1a14b3c6dd7a3b0b411b1cc,10.6.16,docker.io/bitnami/redis:6.0.3-debian-10-r10
0e678a227206e083d764482655b0b429d8352b1d,10.6.17,docker.io/bitnami/redis:6.0.4-debian-10-r0
780db91641bf4e1f98c6e020e1fd971e4d2abc90,10.6.18,docker.io/bitnami/redis:6.0.4-debian-10-r5
c315cb078a4cef97ff53cf2066b34add3f2926ba,10.6.18,docker.io/bitnami/redis:6.0.4-debian-10-r5
