commit,chart_version,images
ab71859f362f28d0d47b8e179f1e05f9af3ede44,4.0.0,docker.io/bitnami/schema-registry:7.1.3-debian-11-r6
2002edf3dd986ef0605aac03175140ab17efbf02,4.0.1,docker.io/bitnami/schema-registry:7.1.3-debian-11-r8
e60f67f8b60b5f277af68fdfcbdc97532d360a79,4.0.2,docker.io/bitnami/schema-registry:7.1.3-debian-11-r9
d799e5056ca3eadfaec70ea800b4fec36d571809,4.0.3,docker.io/bitnami/schema-registry:7.1.3-debian-11-r9
d619fc110135626b9e271995c274a9a79273b1b9,4.0.4,docker.io/bitnami/schema-registry:7.1.3-debian-11-r11
d94a2cf438a771ee367b4b0bc01143f992a7035b,4.0.4,docker.io/bitnami/schema-registry:7.1.3-debian-11-r11
4db0fc681349b2716f28593c5ed31cfb1bf84c46,4.0.5,docker.io/bitnami/schema-registry:7.1.3-debian-11-r11
c13651b34485f9e7025739fca047d205f5887fad,5.0.0,docker.io/bitnami/schema-registry:7.2.1-debian-11-r0
05b0892135bc780dfd6dd9c8f59314f11464c3a8,5.1.0,docker.io/bitnami/schema-registry:7.2.1-debian-11-r0
ab930d302d4a4e5951568cec76c8a5cbfa7be4af,5.1.1,docker.io/bitnami/schema-registry:7.2.1-debian-11-r0
296068c0c79059f00042ff4b260972850dcb2c66,5.1.2,docker.io/bitnami/schema-registry:7.2.1-debian-11-r0
cb56b148b70be8db1adf7bc56627404dca3f0d12,5.1.3,docker.io/bitnami/schema-registry:7.2.1-debian-11-r0
ecb10998fd983d8858b49b18a9566a1a2601f06d,5.1.4,docker.io/bitnami/schema-registry:7.2.1-debian-11-r10
d9fdc3ba950288fca38f9feded546c39b7dfa975,5.1.5,docker.io/bitnami/schema-registry:7.2.1-debian-11-r10
97a78cbaa4ef79accc5f1a9e0023e0e09012afd9,5.1.6,docker.io/bitnami/schema-registry:7.2.1-debian-11-r10
a9d6d7d58f193325e199740a6d08131121c8ede3,5.1.7,docker.io/bitnami/schema-registry:7.2.2-debian-11-r0
3cf6b10e10e60df4b3e191d6b99aa99a9f597755,5.1.7,docker.io/bitnami/schema-registry:7.2.2-debian-11-r0
afa635fdf432179e2f2c803712b91b39009adbb2,6.0.0,docker.io/bitnami/schema-registry:7.2.2-debian-11-r0
a529e02597d49d944eba1eb0f190713293247176,6.0.0,docker.io/bitnami/schema-registry:7.2.2-debian-11-r0
e61cfafc1c5778e8a5b7a1f585c2e690fad2be08,6.0.1,docker.io/bitnami/schema-registry:7.2.2-debian-11-r0
3ac2e6119d2ff96b801e272d542399307dcf19c6,6.0.2,docker.io/bitnami/schema-registry:7.2.2-debian-11-r11
71c85e2f5064f0748eba8d665db6dae61b747f30,7.0.0,docker.io/bitnami/schema-registry:7.3.0-debian-11-r0
e9fae96322d7c9b15685cd7a2ea4bff241bbda65,7.0.1,docker.io/bitnami/schema-registry:7.3.0-debian-11-r0
a40b619ba035aea3164ce28df794311e9744d137,8.0.0,docker.io/bitnami/schema-registry:7.3.0-debian-11-r0
604e5fa08b190bd8ee72132181081b201d8bd94d,8.0.1,docker.io/bitnami/schema-registry:7.3.0-debian-11-r9
e4a81c8bceab157bcda8d5288a646558ed4df3ca,8.0.2,docker.io/bitnami/schema-registry:7.3.1-debian-11-r0
da2a7943bae95b6e9b5b4ed972c15e990b69fdb0,8.0.2,docker.io/bitnami/schema-registry:7.3.1-debian-11-r0
0ab760862c660fcc78cffadf8e1d8cdd70881473,8.0.2,docker.io/bitnami/schema-registry:7.3.1-debian-11-r0
8d7d047d89834eab7e902f98666889cb4dacace7,8.0.3,docker.io/bitnami/schema-registry:7.3.1-debian-11-r10
2064fb8dcc78a845cdede8211af8c3cc52551161,8.0.3,docker.io/bitnami/schema-registry:7.3.1-debian-11-r10
b465cf3de995b17de222084ac7073f664bdc7eb2,8.0.4,docker.io/bitnami/schema-registry:7.3.1-debian-11-r10
add4ec701108ac36ed4de2dffbdf407a0d091067,8.0.4,docker.io/bitnami/schema-registry:7.3.1-debian-11-r10
a51e0e8d35495b907f3e70dd2f8e7c3bcbf4166a,8.0.4,docker.io/bitnami/schema-registry:7.3.1-debian-11-r10
aa9657237ee8df4a46db0d7fdf8a23230dd6902a,8.0.4,docker.io/bitnami/schema-registry:7.3.1-debian-11-r10
12426489dd449d22dc47da1e42cae809489815cd,8.0.5,docker.io/bitnami/schema-registry:7.3.1-debian-11-r21
